link_name,link_url,episode_name,episode_link,,,,,,,,
Hack it out,https://campaign.bezeqint.net/campaigns/2016/hackitout_b,פרק #84 – ינון ברכה יעשה לכם אקזיט,https://geekonomy.net/2016/11/08/geekonomy84/,,,,,,,,
http://he.hostadvice.com,http://he.hostadvice.com,פרק #85 – היקום הגדול של יניב קטן-טננבאום,https://geekonomy.net/2016/11/16/geekonomy85/,,,,,,,,
Geekloid.co.il,http://geekloid.co.il,פרק #86 -סטס טישקביץ׳ מהמר בגדול,https://geekonomy.net/2016/11/22/geekonomy86/,,,,,,,,
הפרק מוגש בחסות חברת Playbuzz שחוץ מלארח אותנו במשרדים שלהם כל שבוע מחפשים עכשיו מעצבי UI/UX שיצטרפו אליהם ויבנו את הדור הבא של מוצרים מדליקים שהם מפתחים.,https://publishers.playbuzz.com/comeet-career/design-and-user-experience/AB.200/experienced-uxui-designer/,פרק #87 – איל לביא עושה פירות ים,https://geekonomy.net/2016/11/29/geekonomy87/,,,,,,,,
עמוד הפייסבוק של ירון טן-ברינק,https://www.facebook.com/yaron.ten.brink?fref=ts,פרק #88 עם חן ליברמן – ירון טן-ברינק מבקר מקצועי,https://geekonomy.net/2016/12/06/geekonomy88/,,,,,,,,
עמוד הפייסבוק של חן ליברמן,https://www.facebook.com/shen.liberman?fref=ts,פרק #88 עם חן ליברמן – ירון טן-ברינק מבקר מקצועי,https://geekonomy.net/2016/12/06/geekonomy88/,,,,,,,,
דירק ג׳נטלי,http://www.imdb.com/title/tt4047038/,פרק #88 עם חן ליברמן – ירון טן-ברינק מבקר מקצועי,https://geekonomy.net/2016/12/06/geekonomy88/,,,,,,,,
רדיו ״הקצה״,http://kzradio.net/,פרק #88 עם חן ליברמן – ירון טן-ברינק מבקר מקצועי,https://geekonomy.net/2016/12/06/geekonomy88/,,,,,,,,
לוק קייג׳,http://www.imdb.com/title/tt3322314/?ref_=nv_sr_1,פרק #88 עם חן ליברמן – ירון טן-ברינק מבקר מקצועי,https://geekonomy.net/2016/12/06/geekonomy88/,,,,,,,,
דרדוויל,http://www.imdb.com/title/tt3322312/?ref_=nv_sr_1,פרק #88 עם חן ליברמן – ירון טן-ברינק מבקר מקצועי,https://geekonomy.net/2016/12/06/geekonomy88/,,,,,,,,
